model,best_epoch,val_rmse,val_mae,test_rmse,test_mae,train_rows,n_users,n_items
matrix_factorization,13,0.8685541224702058,0.6810939434284353,0.8658129137586136,0.6778156509519296,800167,6040,3675
neumf,19,0.8743953318546315,0.6853188872337341,0.8695370573687894,0.6813737750053406,800167,6040,3675
